epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.94498,2.9746,5.49403,4.21817,0,0,0,0,3.39265,5.92557,4.15986,0.1,0,0
2,6.14129,3.19529,5.57223,4.21879,0,0,0,0,3.39267,5.92562,4.15996,0.0990993,9.934e-05,9.934e-05
3,8.30568,3.36452,5.44565,4.2265,0,0,0,0,3.3927,5.92554,4.16008,0.0981974,0.00019736,0.00019736
4,10.3702,3.18786,5.43957,4.24603,0,0,0,0,3.39274,5.92579,4.16022,0.0972941,0.00029406,0.00029406
5,12.337,3.24882,5.63872,4.21899,0,0,0,0,3.39274,5.92579,4.16022,0.0963894,0.00038944,0.00038944
6,14.3845,3.23255,5.48223,4.20491,0,0,0,0,3.39286,5.92574,4.16057,0.0954835,0.0004835,0.0004835
7,16.3264,3.12548,5.81524,4.31589,0,0,0,0,3.39286,5.92574,4.16057,0.0945762,0.00057624,0.00057624
8,18.5295,3.15111,5.70343,4.31741,0,0,0,0,3.39301,5.92578,4.16096,0.0936677,0.00066766,0.00066766
9,20.651,3.41803,5.45496,4.22501,0,0,0,0,3.39301,5.92578,4.16096,0.0927578,0.00075776,0.00075776
10,22.7216,2.99381,5.70111,4.22516,0,0,0,0,3.39313,5.9261,4.16126,0.0918465,0.00084654,0.00084654
11,24.8257,3.35741,5.54008,4.23948,0,0,0,0,3.39313,5.9261,4.16126,0.090934,0.000934,0.000934
12,27.0852,3.06308,5.55225,4.2548,0,0,0,0,3.39313,5.9261,4.16126,0.0900201,0.00102014,0.00102014
13,29.2295,2.96071,5.57608,4.22234,0,0,0,0,3.39332,5.92614,4.16183,0.089105,0.00110496,0.00110496
